id_resultado_condicion_despacho,id_condicion_despacho
21fcaf2c-aadd-4e17-8608-b5777da80a66,b1b3facf-7dc6-4ed5-bc59-0e6e0892646e
21fcaf2c-aadd-4e17-8608-b5777da80a66,11a7e786-e884-4b84-978b-36c5c923d541
21fcaf2c-aadd-4e17-8608-b5777da80a66,e1284fa6-e3f5-46c1-8fd5-638b1a1a11d9
21fcaf2c-aadd-4e17-8608-b5777da80a66,fdd3bd2d-2552-42ed-b893-56f0c17ab7d5
21fcaf2c-aadd-4e17-8608-b5777da80a66,15fc2340-ea20-4bdd-8988-152cce34e2ac
21fcaf2c-aadd-4e17-8608-b5777da80a66,6e34b0fa-443a-434f-87de-0a6aada24ca8
21fcaf2c-aadd-4e17-8608-b5777da80a66,93fb11df-23ac-41c4-916f-48887f28e2a4
c68b22b3-636c-48c2-a4c2-f4b319bffb14,0a3423cc-b44e-407b-bc5a-5e2c1c5a3128
c68b22b3-636c-48c2-a4c2-f4b319bffb14,0c0374c1-72fc-48fc-9c46-892d1879aada
c68b22b3-636c-48c2-a4c2-f4b319bffb14,d6f7c163-4daa-439c-92f4-02a6181d8e1c
c68b22b3-636c-48c2-a4c2-f4b319bffb14,01850a49-c18c-4d6b-acf8-b9cc04a14abf
c68b22b3-636c-48c2-a4c2-f4b319bffb14,2b6ea471-92b4-466a-9902-2b2ba62af817
c68b22b3-636c-48c2-a4c2-f4b319bffb14,813333d0-bcea-4181-91ba-ac6d71dbf4f7
c68b22b3-636c-48c2-a4c2-f4b319bffb14,b277e358-7e4b-46b1-8f3b-00b455c94465
ea2827ce-451a-40d4-b98a-a39b3c336b5a,67482e7d-41a1-4375-85eb-92711e4f91cb
ea2827ce-451a-40d4-b98a-a39b3c336b5a,570965ed-5f2a-4b7a-bb5a-e8a42d6b4f25
ea2827ce-451a-40d4-b98a-a39b3c336b5a,9f54f839-b5dc-423f-a2f7-12752e29e2d7
ea2827ce-451a-40d4-b98a-a39b3c336b5a,ac8993cf-c8b3-4f40-b378-6d625f0b8a76
ea2827ce-451a-40d4-b98a-a39b3c336b5a,55995c53-330f-43d6-9d5a-ed59de51a655
ea2827ce-451a-40d4-b98a-a39b3c336b5a,a8a7f536-2b96-4d1c-a689-7e19a406b19f
f6c3f976-8918-487e-b1f0-7eda98aae379,dd60cd70-cb0a-4551-84d4-b13226749e94
f6c3f976-8918-487e-b1f0-7eda98aae379,c3118579-b447-444c-9e4d-e08091576480
f6c3f976-8918-487e-b1f0-7eda98aae379,a3b7cc33-8acc-4c7e-b7bc-f7dc0d3ea67d
f6c3f976-8918-487e-b1f0-7eda98aae379,a4fb2ffa-96c7-4c80-9cf5-6379ff4e5526
f6c3f976-8918-487e-b1f0-7eda98aae379,53db48bd-c4a0-460d-9e9e-756ad43cb516
f6c3f976-8918-487e-b1f0-7eda98aae379,6a8ad2f5-8c75-4e16-a09c-00d756396d96
b0ce6e3f-1e9e-4d17-a47d-335c61b250a4,e73b9742-6f37-4081-9c4c-4a9d6cce698e
b0ce6e3f-1e9e-4d17-a47d-335c61b250a4,9fcb8227-6fcc-4af3-9cf9-661cc78e21f0
b0ce6e3f-1e9e-4d17-a47d-335c61b250a4,b376e2f3-d41e-40cc-8ee5-9fb997d830c7
b0ce6e3f-1e9e-4d17-a47d-335c61b250a4,e75916ec-eb59-4c9a-8907-8405b9ad03a7
b0ce6e3f-1e9e-4d17-a47d-335c61b250a4,5551631e-ec06-41ca-96cb-fcfda8c258e9
b0ce6e3f-1e9e-4d17-a47d-335c61b250a4,45792aa6-2184-4a20-aada-df9a7567d1f6
b0ce6e3f-1e9e-4d17-a47d-335c61b250a4,adb448a0-f043-47a9-9572-da3067b80b60
8ecec57b-8dfa-412d-8112-30ba5eed8449,117b3af7-551e-4ea7-a114-393b447834b1
8ecec57b-8dfa-412d-8112-30ba5eed8449,0784ed8c-cdba-4250-891a-54f6e3cf1879
8ecec57b-8dfa-412d-8112-30ba5eed8449,5fa9677a-3e62-4689-87d6-de428a493ff3
8ecec57b-8dfa-412d-8112-30ba5eed8449,d1fb3506-f785-48a2-9bd2-27538b5d5f2d
8ecec57b-8dfa-412d-8112-30ba5eed8449,f9bd2e46-dc27-4db8-95f4-5de6731075fd
8ecec57b-8dfa-412d-8112-30ba5eed8449,7c52697f-a75c-4593-bacc-b48420f1ccce
8ecec57b-8dfa-412d-8112-30ba5eed8449,eae6f6c8-9e18-4a5d-87f9-6742336754d1
9ba2d25d-2bca-477a-84ef-93b52d285b84,042abbf4-a8a5-4930-b8b8-7aeb2290b91d
9ba2d25d-2bca-477a-84ef-93b52d285b84,25a429f1-0f73-43ac-884c-a50ba2d85df6
9ba2d25d-2bca-477a-84ef-93b52d285b84,35537323-fd71-41aa-aa76-7bc0ad89415b
9ba2d25d-2bca-477a-84ef-93b52d285b84,2d12b802-e083-4364-b120-66818e71e526
9ba2d25d-2bca-477a-84ef-93b52d285b84,3e4bfc68-d40e-4f84-a63d-88731eeb275d
beb549db-178e-449e-ab9f-72a2336f403c,3f0dbb6d-43cb-4421-a4c0-425577d794b3
beb549db-178e-449e-ab9f-72a2336f403c,691e3dfe-92ce-490c-a04d-5bb897bad9e2
beb549db-178e-449e-ab9f-72a2336f403c,5bf4eaac-11da-43f7-a2ef-868160b922f7
beb549db-178e-449e-ab9f-72a2336f403c,ff9b0f1a-102a-4247-a194-01ad4b86d6c8
6e2b542f-2f22-4b6a-876c-f09751e62419,24d514e7-ddfa-49f9-b93f-27826641b2dc
6e2b542f-2f22-4b6a-876c-f09751e62419,00ab52c6-4439-4a53-a14f-102968e3303e
6e2b542f-2f22-4b6a-876c-f09751e62419,0ac8f4ed-4904-4a15-b939-6f727843b433
6e2b542f-2f22-4b6a-876c-f09751e62419,7cfe2a9d-d735-4769-afa8-1ebc128d5d04
6e2b542f-2f22-4b6a-876c-f09751e62419,54cc485f-d3f0-4382-9720-c860439572d8
6e2b542f-2f22-4b6a-876c-f09751e62419,68e35170-546e-474b-b25c-eb5da7fa5732
6e2b542f-2f22-4b6a-876c-f09751e62419,ae8c3a92-794f-49de-8326-18dddcf4bdea
f4d245d4-054b-42da-ab36-44d73ef65ca3,f53aa3a0-f752-4040-9384-d2c147cf33cc
f4d245d4-054b-42da-ab36-44d73ef65ca3,af440fd2-b3f6-4334-b553-d979edae0917
f4d245d4-054b-42da-ab36-44d73ef65ca3,8f2b722a-c932-41d3-b425-a4995761be81
f4d245d4-054b-42da-ab36-44d73ef65ca3,33f8d999-4939-440d-bee3-e2f4e23a90ca
