id_detalle_orden,id_producto,id_orden_entrega,cantidad,precio_unitario,fecha_creacion,fecha_actualizacion
a651d5b9-ab57-45bb-9e02-f3390a5658ac,d8e02563-386c-4eb8-a9df-b639640e9149,b69e5808-76f2-4526-b867-2bd6af979d5c,51,28.13,2025-06-01T00:19:19.652612,2025-06-01T00:19:19.652612
656cbf2f-ccda-47b2-9286-d90fff734f12,4d74f934-3e42-42d1-a9bb-74666e6ae8e1,b69e5808-76f2-4526-b867-2bd6af979d5c,80,23.28,2025-06-01T00:19:19.652612,2025-06-01T00:19:19.652612
2797a58d-ea07-4bd9-b45d-f45e5a012c3a,b4034a50-4e3d-43b4-ba7d-1f6bf22fccf3,894af6c2-8b21-41b7-aa92-b4fa2da29ecf,48,52.74,2025-06-01T00:41:19.652612,2025-06-01T00:41:19.652612
e4842861-b672-43d2-9608-1a2efcc715d1,29185405-03e2-4d3e-8886-ff7bb3359a04,894af6c2-8b21-41b7-aa92-b4fa2da29ecf,85,16.09,2025-06-01T00:41:19.652612,2025-06-01T00:41:19.652612
460061ea-59c3-4385-b879-6338e2e3dec6,5041f246-3c11-4aa7-87ef-11a02a4171bc,894af6c2-8b21-41b7-aa92-b4fa2da29ecf,36,43.29,2025-06-01T00:41:19.652612,2025-06-01T00:41:19.652612
ab50b6bb-fec2-4c40-82fe-6b279a6af0c3,7fd75111-7190-429f-ad26-6ae6d055436b,ba1e9190-8a0f-48cd-8acd-6308879056f7,23,89.83,2025-06-01T00:38:19.652612,2025-06-01T00:38:19.652612
0cec93b3-ce88-462f-87f1-9eefb928a61b,294c7455-38c1-4965-a3ec-4e16082413f3,ba1e9190-8a0f-48cd-8acd-6308879056f7,15,56.97,2025-06-01T00:38:19.652612,2025-06-01T00:38:19.652612
06753ea1-07bc-4b57-a4f8-53ded133201e,7086bf17-2078-4393-9055-964bc400a7b1,1811afbb-2c9d-4751-9b28-8cbe990dd25e,74,83.15,2025-06-01T00:54:19.652612,2025-06-01T00:54:19.652612
6ae92655-31f4-4c1c-883d-6177446370d9,d130c1e3-bc12-446c-b8fc-e38985adddb2,396e571e-e5a1-40fc-9313-4a6c0fae318d,46,38.39,2025-06-01T00:59:19.652612,2025-06-01T00:59:19.652612
c8607fd3-e783-4f9d-9199-398f9c82065c,cd9b132c-3c53-4c5c-a3f2-472f83725e84,396e571e-e5a1-40fc-9313-4a6c0fae318d,36,76.0,2025-06-01T00:59:19.652612,2025-06-01T00:59:19.652612
94c1f972-60d2-4d2b-be6f-0bbae0e6e10b,26ee55cc-0066-47f4-bedc-59d14e5c3ddd,396e571e-e5a1-40fc-9313-4a6c0fae318d,37,10.79,2025-06-01T00:59:19.652612,2025-06-01T00:59:19.652612
b03a948c-c246-44af-8241-34bd7d03d4e4,b82d1a4e-2b61-4564-abcb-b809d34fb3d7,5bfde6f2-53c3-49bb-be01-f12f9b692718,8,31.69,2025-06-01T01:00:19.652612,2025-06-01T01:00:19.652612
5d64fe2b-1f80-4a67-a482-0ef3dfc95674,328bb136-1595-4df5-9aa8-d2ac7e9a455f,5bfde6f2-53c3-49bb-be01-f12f9b692718,79,12.79,2025-06-01T01:00:19.652612,2025-06-01T01:00:19.652612
f8c461d7-ff72-48fb-8c24-5a67541d33e9,ddebf0cf-4f53-4630-aa8c-74005771c8d8,5bfde6f2-53c3-49bb-be01-f12f9b692718,40,10.97,2025-06-01T01:00:19.652612,2025-06-01T01:00:19.652612
5a9f50f8-63ca-4236-871a-7e659967bc89,68a7569b-2eac-411c-9c3b-33c44b92bada,ebb207b2-c2ef-4ee9-97cf-72766808a7db,2,75.28,2025-06-01T00:57:19.652612,2025-06-01T00:57:19.652612
f3e13ca0-f653-4019-a0bc-6f0d861f59b7,339a1db5-40b2-4cb0-a91c-e73d17dd57c7,ebb207b2-c2ef-4ee9-97cf-72766808a7db,35,46.51,2025-06-01T00:57:19.652612,2025-06-01T00:57:19.652612
